"race_year","races","hits","return_rate"
"2005",467,58,79.74
"2006",534,96,107.88
"2007",497,81,80.40
"2008",539,94,96.44
"2009",604,124,102.96
"2010",619,139,97.67
"2011",678,146,96.77
"2012",775,164,93.35
"2013",810,169,92.68
"2014",872,206,102.36
"2015",867,196,92.95
"2016",873,190,84.86
"2017",880,221,98.10
"2018",732,204,102.49
"2019",894,230,98.86
"2020",753,198,94.53
"2021",758,215,98.81
"2022",661,164,90.05
"2023",541,158,107.38
"2024",593,168,105.31
"2025",578,182,112.92
"2026",15,5,68.00
