"bet_type","combination","cnt"
fukusho,"1",481562
fukusho,"2",266860
fukusho,"3",225349
fukusho,"4",184302
fukusho,"5",118942
fukusho,"6",78392
nirenfuku,"1=2",31
nirenfuku,"1=3",20
nirenfuku,"1=4",18
nirenfuku,"1=5",11
nirenfuku,"1=6",8
nirenfuku,"2=3",13
nirenfuku,"2=4",8
nirenfuku,"2=5",3
nirenfuku,"2=6",3
nirenfuku,"3=4",6
nirenfuku,"3=5",4
nirenfuku,"3=6",2
nirenfuku,"4=5",6
nirenfuku,"4=6",2
nirenfuku,"5=6",1
nirenpuku,"1-2",167261
nirenpuku,"1-3",130489
nirenpuku,"1-4",93694
nirenpuku,"1-5",56247
nirenpuku,"1-6",35413
nirenpuku,"2-3",40030
nirenpuku,"2-4",31099
nirenpuku,"2-5",19078
nirenpuku,"2-6",13609
nirenpuku,"3-4",28656
nirenpuku,"3-5",18088
nirenpuku,"3-6",12289
nirenpuku,"4-5",21803
nirenpuku,"4-6",13135
nirenpuku,"5-6",8318
nirentan,"1-2",122174
nirentan,"1-3",98035
nirentan,"1-4",70549
nirentan,"1-5",42553
nirentan,"1-6",27644
nirentan,"2-1",45150
nirentan,"2-3",21726
nirentan,"2-4",16869
nirentan,"2-5",11343
nirentan,"2-6",8442
nirentan,"3-1",32483
nirentan,"3-2",18334
nirentan,"3-4",16798
nirentan,"3-5",11611
