"odds_range","total_bets","total_wins","win_rate","recovery_rate"
1.0,289221,289210,100.00,1.30
2.0,53343,53342,100.00,2.33
3.0,17382,17382,100.00,3.35
4.0,6676,6676,100.00,4.38
5.0,3081,3080,99.97,5.36
6.0,1732,1732,100.00,6.38
7.0,942,942,100.00,7.42
8.0,521,521,100.00,8.34
9.0,422,422,100.00,9.40
10.0,239,239,100.00,10.45
11.0,163,163,100.00,11.37
12.0,122,122,100.00,12.39
13.0,95,95,100.00,13.46
14.0,67,67,100.00,14.33
15.0,58,58,100.00,15.37
16.0,54,54,100.00,16.50
17.0,23,23,100.00,17.31
18.0,27,27,100.00,18.28
19.0,22,22,100.00,19.45
20.0,22,22,100.00,20.47
21.0,16,16,100.00,21.43
22.0,17,17,100.00,22.54
23.0,9,9,100.00,23.19
24.0,8,8,100.00,24.45
25.0,9,9,100.00,25.40
26.0,6,6,100.00,26.37
27.0,9,9,100.00,27.21
28.0,4,4,100.00,28.48
29.0,4,4,100.00,29.15
30.0,3,3,100.00,30.47
31.0,6,6,100.00,31.57
32.0,4,4,100.00,32.45
33.0,4,4,100.00,33.50
34.0,4,4,100.00,34.45
35.0,3,3,100.00,35.37
36.0,1,1,100.00,36.90
37.0,2,2,100.00,37.50
38.0,1,1,100.00,38.80
39.0,1,1,100.00,39.10
40.0,2,2,100.00,40.45
41.0,1,1,100.00,41.40
42.0,4,4,100.00,42.63
45.0,2,2,100.00,45.35
46.0,1,1,100.00,46.90
48.0,2,2,100.00,48.70
49.0,2,2,100.00,49.70
51.0,1,1,100.00,51.70
56.0,1,1,100.00,56.30
57.0,1,1,100.00,57.30
58.0,1,1,100.00,58.50
60.0,1,1,100.00,60.70
61.0,1,1,100.00,61.20
62.0,1,1,100.00,62.00
65.0,1,1,100.00,65.90
71.0,1,1,100.00,71.20
77.0,1,1,100.00,77.20
80.0,1,1,100.00,80.20
84.0,1,1,100.00,84.80
119.0,1,1,100.00,119.50
123.0,1,1,100.00,123.00
