"odds_range","total_bets","total_wins","win_rate","recovery_rate"
1.0,21624,0,0.00,0.00
2.0,37277,0,0.00,0.00
3.0,25787,0,0.00,0.00
4.0,15450,0,0.00,0.00
5.0,9585,0,0.00,0.00
6.0,6148,0,0.00,0.00
7.0,4122,0,0.00,0.00
8.0,2882,0,0.00,0.00
9.0,2274,0,0.00,0.00
10.0,1649,0,0.00,0.00
11.0,1209,0,0.00,0.00
12.0,927,0,0.00,0.00
13.0,776,0,0.00,0.00
14.0,618,0,0.00,0.00
15.0,479,0,0.00,0.00
16.0,360,0,0.00,0.00
17.0,313,0,0.00,0.00
18.0,245,0,0.00,0.00
19.0,213,0,0.00,0.00
20.0,151,0,0.00,0.00
21.0,136,0,0.00,0.00
22.0,125,0,0.00,0.00
23.0,90,0,0.00,0.00
24.0,77,0,0.00,0.00
25.0,64,0,0.00,0.00
26.0,59,0,0.00,0.00
27.0,39,0,0.00,0.00
28.0,34,0,0.00,0.00
29.0,30,0,0.00,0.00
30.0,24,0,0.00,0.00
31.0,21,0,0.00,0.00
32.0,17,0,0.00,0.00
33.0,10,0,0.00,0.00
34.0,14,0,0.00,0.00
35.0,15,0,0.00,0.00
36.0,9,0,0.00,0.00
37.0,6,0,0.00,0.00
38.0,7,0,0.00,0.00
39.0,6,0,0.00,0.00
40.0,7,0,0.00,0.00
41.0,4,0,0.00,0.00
42.0,4,0,0.00,0.00
43.0,3,0,0.00,0.00
44.0,4,0,0.00,0.00
45.0,5,0,0.00,0.00
46.0,2,0,0.00,0.00
47.0,3,0,0.00,0.00
48.0,1,0,0.00,0.00
49.0,1,0,0.00,0.00
50.0,5,0,0.00,0.00
51.0,4,0,0.00,0.00
52.0,2,0,0.00,0.00
55.0,2,0,0.00,0.00
57.0,1,0,0.00,0.00
59.0,2,0,0.00,0.00
61.0,1,0,0.00,0.00
62.0,1,0,0.00,0.00
64.0,1,0,0.00,0.00
65.0,2,0,0.00,0.00
66.0,1,0,0.00,0.00
105.0,1,0,0.00,0.00
