"stadium_code","race_no","races","hits","return_rate"
"12","04",3924,1643,108.56
"07","07",4011,2197,97.22
"24","12",4014,2864,95.92
"13","01",3875,1631,95.04
"13","12",3864,2570,94.66
"13","05",3871,1698,94.35
"05","08",3880,1507,93.69
"13","10",3866,2287,92.74
"03","03",3585,1354,92.72
"03","05",3580,1343,92.61
"04","05",3826,1620,92.54
"05","10",3879,1956,92.08
"13","04",3873,1567,91.96
"12","06",3924,1780,91.87
"12","12",3921,2631,91.78
"23","10",3934,1975,91.62
"23","05",3942,1410,91.59
"13","11",3865,2501,91.42
"13","06",3871,1836,91.36
"24","04",4023,1787,91.28
"04","04",3826,1200,90.95
"12","11",3923,2583,90.94
"09","12",3924,2644,90.84
"06","01",4229,1776,90.82
"04","10",3818,1660,90.63
"24","09",4018,2469,90.59
"03","04",3580,1296,90.47
"23","12",3933,2549,90.47
"03","09",3538,1548,90.40
"05","11",3879,2132,90.40
