stadium_code,total_races,honmei_count,honmei_rate,avg_payout,return_rate
04,45287,14197,31.35,453,452.86
01,46680,18498,39.63,432,432.30
06,50102,19906,39.73,430,429.72
05,46002,16284,35.40,430,429.63
11,41285,16835,40.78,428,427.87
02,46670,14449,30.96,427,426.67
03,41133,14278,34.71,424,424.09
23,45922,20722,45.12,419,419.31
14,35088,15020,42.81,416,415.63
15,45369,20254,44.64,410,409.55
12,46784,21782,46.56,409,408.62
20,46044,20856,45.30,407,407.33
08,47777,21007,43.97,407,406.75
13,45932,20733,45.14,406,406.19
22,42811,18794,43.90,403,402.82
17,39691,19743,49.74,403,402.51
07,47543,20305,42.71,402,401.83
10,43763,20067,45.85,401,401.01
21,42877,23222,54.16,390,390.27
16,42217,20098,47.61,387,387.11
09,43397,21194,48.84,380,380.17
19,40122,21185,52.80,374,374.35
18,40287,22598,56.09,370,370.23
24,45865,26238,57.21,369,369.25
