stadium_code,stadium_name,race_no,total_races,fav_wins,fav_win_rate
01,桐生,02,3848,0,0.00
01,桐生,03,3867,0,0.00
01,桐生,04,3875,0,0.00
01,桐生,05,3894,0,0.00
01,桐生,06,3904,0,0.00
01,桐生,07,3899,0,0.00
01,桐生,08,3903,0,0.00
01,桐生,09,3898,0,0.00
01,桐生,10,3899,0,0.00
01,桐生,11,3899,0,0.00
01,桐生,12,3895,0,0.00
02,戸田,01,3881,0,0.00
02,戸田,02,3842,0,0.00
02,戸田,03,3866,0,0.00
02,戸田,04,3897,0,0.00
02,戸田,05,3897,0,0.00
02,戸田,06,3910,0,0.00
02,戸田,07,3905,0,0.00
02,戸田,08,3897,0,0.00
02,戸田,09,3881,0,0.00
02,戸田,10,3887,0,0.00
02,戸田,11,3886,0,0.00
02,戸田,12,3921,0,0.00
03,江戸川,01,3433,0,0.00
03,江戸川,02,3420,0,0.00
03,江戸川,03,3439,0,0.00
03,江戸川,04,3455,0,0.00
03,江戸川,05,3461,0,0.00
03,江戸川,06,3468,0,0.00
03,江戸川,07,3457,0,0.00
03,江戸川,08,3420,0,0.00
03,江戸川,09,3424,0,0.00
03,江戸川,10,3429,0,0.00
03,江戸川,11,3405,0,0.00
03,江戸川,12,3322,0,0.00
04,平和島,01,3765,0,0.00
04,平和島,02,3764,0,0.00
04,平和島,03,3760,0,0.00
04,平和島,04,3787,0,0.00
04,平和島,05,3787,0,0.00
04,平和島,06,3790,0,0.00
04,平和島,07,3779,0,0.00
04,平和島,08,3775,0,0.00
04,平和島,09,3771,0,0.00
04,平和島,10,3762,0,0.00
04,平和島,11,3767,0,0.00
04,平和島,12,3780,0,0.00
05,多摩川,01,3831,0,0.00
05,多摩川,02,3817,0,0.00
01,桐生,01,3899,0,0.00
