stadium_code,stadium_name,hit_count,avg_payout,return_rate
04,平和島,6245,566,565.51
02,戸田,6488,558,558.37
05,多摩川,7010,522,522.34
14,鳴門,6236,511,511.30
03,江戸川,6571,503,502.60
11,びわこ,6680,500,500.02
22,福岡,7854,493,492.87
06,浜名湖,7782,487,487.41
01,桐生,7339,473,473.12
17,宮島,8164,467,466.61
18,徳山,7846,465,465.50
16,児島,7730,465,464.96
13,尼崎,7817,464,463.99
15,丸亀,7898,462,461.55
23,唐津,7993,460,460.37
09,津,7726,460,459.78
10,三国,7893,458,457.62
20,若松,8293,456,455.85
07,蒲郡,8099,454,453.52
08,常滑,8228,453,453.40
19,下関,8074,450,449.58
12,住之江,8188,449,449.29
21,芦屋,8690,414,414.13
24,大村,9432,404,404.39
