stadium_code,stadium_name,total_races,manbune_count,manbune_rate,avg_payout,max_payout
04,平和島,45662,9636,21.10,7978,237520
02,戸田,47335,9856,20.82,7821,318270
14,鳴門,41474,8531,20.57,8025,329270
11,びわこ,43504,8522,19.59,7728,477800
01,桐生,47005,9133,19.43,7670,366150
05,多摩川,46340,8934,19.28,7621,482710
03,江戸川,42334,8115,19.17,7512,535520
15,丸亀,48142,9138,18.98,7634,554930
06,浜名湖,50486,9542,18.90,7616,391620
17,宮島,45439,8555,18.83,7756,335040
16,児島,47440,8903,18.77,7650,761840
20,若松,47863,8875,18.54,7508,474840
10,三国,46723,8649,18.51,7753,650610
23,唐津,47065,8588,18.25,7668,498640
21,芦屋,46358,8445,18.22,7892,534930
08,常滑,49185,8840,17.97,7581,517830
19,下関,46119,8206,17.79,7470,438030
12,住之江,46860,8324,17.76,7468,472150
07,蒲郡,47877,8385,17.51,7192,514810
22,福岡,47343,8277,17.48,7292,506500
13,尼崎,46205,7977,17.26,7228,637530
09,津,46994,8048,17.13,7337,471480
24,大村,48087,7747,16.11,7083,511500
18,徳山,45581,7282,15.98,7161,682760
