stadium_code,race_no,race_count,avg_payout,return_rate
01,04,3875,489,489.25
01,02,3848,480,479.98
04,02,3764,477,477.19
23,09,3801,472,472.43
06,02,4154,472,471.92
04,11,3767,471,470.92
04,04,3787,469,469.47
04,08,3775,466,465.58
04,01,3765,463,462.52
04,03,3760,460,459.86
12,03,3881,459,458.69
01,01,3899,457,457.24
15,02,3722,457,456.85
07,04,3946,455,455.37
06,03,4174,455,455.21
15,03,3739,454,453.90
12,04,3886,453,452.84
07,02,3904,453,452.69
20,02,3662,453,452.58
05,02,3817,452,452.34
13,02,3812,451,451.14
03,10,3429,451,450.73
07,01,3918,451,450.66
15,04,3727,450,450.37
04,10,3762,450,450.24
05,04,3833,450,449.82
02,03,3866,449,449.29
01,03,3867,449,449.27
20,03,3701,449,449.06
02,09,3881,449,448.77
11,04,3401,448,448.20
16,03,3353,448,447.53
06,05,4174,447,447.01
02,01,3881,446,446.31
23,08,3849,446,445.55
11,02,3350,445,445.22
12,01,3888,445,444.82
08,02,3925,444,444.30
16,04,3434,443,443.17
04,09,3771,443,443.05
21,06,3542,443,442.82
13,03,3823,443,442.79
05,03,3826,443,442.72
11,07,3459,443,442.61
04,06,3790,442,442.36
17,02,3149,442,442.19
01,05,3894,441,441.39
03,02,3420,440,440.06
11,09,3453,440,439.70
02,11,3886,440,439.52
