stadium_code,race_no,total_races,boat1_wins,win_rate
01,02,23490,0,0.00
01,03,23455,0,0.00
01,04,23449,0,0.00
01,05,23426,0,0.00
01,06,23434,0,0.00
01,07,23384,0,0.00
01,08,23344,0,0.00
01,09,23355,0,0.00
01,10,23278,0,0.00
01,11,23356,0,0.00
01,12,23306,0,0.00
02,01,23429,0,0.00
02,02,23479,0,0.00
02,03,23520,0,0.00
02,04,23530,0,0.00
02,05,23549,0,0.00
02,06,23514,0,0.00
02,07,23503,0,0.00
02,08,23455,0,0.00
02,09,23400,0,0.00
02,10,23436,0,0.00
02,11,23428,0,0.00
02,12,23391,0,0.00
03,01,21204,0,0.00
03,02,21179,0,0.00
03,03,21179,0,0.00
03,04,21172,0,0.00
03,05,21180,0,0.00
03,06,21171,0,0.00
03,07,21015,0,0.00
03,08,20983,0,0.00
03,09,20933,0,0.00
03,10,20803,0,0.00
03,11,20634,0,0.00
03,12,19864,0,0.00
04,01,22659,0,0.00
04,02,22638,0,0.00
04,03,22714,0,0.00
04,04,22730,0,0.00
04,05,22697,0,0.00
04,06,22682,0,0.00
04,07,22667,0,0.00
04,08,22677,0,0.00
04,09,22633,0,0.00
04,10,22653,0,0.00
04,11,22595,0,0.00
04,12,22592,0,0.00
05,01,23066,0,0.00
05,02,23093,0,0.00
01,01,23466,0,0.00
