"race_year","races","hits","return_rate"
"2005",1179,125,114.99
"2006",1187,126,106.40
"2007",1158,109,104.15
"2008",1148,122,105.19
"2009",1178,136,113.68
"2010",1107,121,97.70
"2011",1080,143,125.61
"2012",1088,161,110.34
"2013",1123,182,115.23
"2014",1035,155,101.81
"2015",972,159,102.43
"2016",1102,176,109.34
"2017",1019,176,123.55
"2018",1112,195,101.19
"2019",1067,177,98.10
"2020",1161,183,77.36
"2021",1148,199,106.42
"2022",1206,211,104.33
"2023",1125,195,112.65
"2024",1167,223,111.09
"2025",1138,189,98.42
"2026",66,8,73.48
