"odds_range","total_bets","total_wins","win_rate","recovery_rate"
1.0,283349,0,0.00,0.00
2.0,51817,0,0.00,0.00
3.0,16748,0,0.00,0.00
4.0,6448,0,0.00,0.00
5.0,2960,0,0.00,0.00
6.0,1650,0,0.00,0.00
7.0,902,0,0.00,0.00
8.0,506,0,0.00,0.00
9.0,403,0,0.00,0.00
10.0,226,0,0.00,0.00
11.0,157,0,0.00,0.00
12.0,113,0,0.00,0.00
13.0,91,0,0.00,0.00
14.0,64,0,0.00,0.00
15.0,56,0,0.00,0.00
16.0,51,0,0.00,0.00
17.0,21,0,0.00,0.00
18.0,25,0,0.00,0.00
19.0,22,0,0.00,0.00
20.0,20,0,0.00,0.00
21.0,16,0,0.00,0.00
22.0,17,0,0.00,0.00
23.0,9,0,0.00,0.00
24.0,8,0,0.00,0.00
25.0,9,0,0.00,0.00
26.0,6,0,0.00,0.00
27.0,8,0,0.00,0.00
28.0,3,0,0.00,0.00
29.0,4,0,0.00,0.00
30.0,3,0,0.00,0.00
31.0,6,0,0.00,0.00
32.0,3,0,0.00,0.00
33.0,4,0,0.00,0.00
34.0,4,0,0.00,0.00
35.0,3,0,0.00,0.00
36.0,1,0,0.00,0.00
37.0,2,0,0.00,0.00
38.0,1,0,0.00,0.00
39.0,1,0,0.00,0.00
40.0,1,0,0.00,0.00
41.0,1,0,0.00,0.00
42.0,4,0,0.00,0.00
45.0,2,0,0.00,0.00
46.0,1,0,0.00,0.00
48.0,2,0,0.00,0.00
49.0,2,0,0.00,0.00
51.0,1,0,0.00,0.00
56.0,1,0,0.00,0.00
57.0,1,0,0.00,0.00
58.0,1,0,0.00,0.00
60.0,1,0,0.00,0.00
61.0,1,0,0.00,0.00
62.0,1,0,0.00,0.00
65.0,1,0,0.00,0.00
71.0,1,0,0.00,0.00
77.0,1,0,0.00,0.00
80.0,1,0,0.00,0.00
84.0,1,0,0.00,0.00
119.0,1,0,0.00,0.00
123.0,1,0,0.00,0.00
